Prov/Terr,FED ID,Federal Electoral Districts,Total,Total Income,Under 20,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,Over 75
35,35106,Thunder Bay--Superior North,66490,3035933000,2550,5170,5050,4800,4500,4340,4860,5900,6570,6230,5360,3790,7370
35,35107,Timmins--James Bay,63070,2775540000,2580,4820,5200,4800,4620,4530,4860,5900,6310,5560,4650,3350,5910
35,35108,Toronto Centre,83760,4493901000,2060,7710,11760,11620,8460,6460,6450,7200,6040,4980,3960,2860,4200
35,35109,Toronto--Danforth,80010,4546031000,1910,4600,6380,8350,8910,8130,7530,7390,6450,5580,4890,3350,6540
35,35110,University--Rosedale,93200,7811056000,2620,7630,10740,9610,6870,5760,6080,6900,6800,6530,6400,5350,11920
35,35111,Vaughan--Woodbridge,84130,4412216000,4150,6800,6070,5580,6080,7550,8900,8360,6970,5620,5540,4170,8350
35,35112,Waterloo,86960,4805754000,4610,9960,7950,6710,6360,6680,7480,7860,7080,5830,5050,3740,7640
35,35113,Wellington--Halton Hills,93670,5538770000,4960,7480,6080,5910,6640,7660,8900,10220,9080,7060,6100,4850,8730
35,35114,Whitby,96780,5441127000,4430,8110,6890,7370,8330,9430,9600,10040,8400,6630,5660,4150,7740
35,35115,Willowdale,108170,4634908000,2820,8950,12340,11870,10590,9540,9480,9160,7930,6670,5610,4110,9100
35,35116,Windsor--Tecumseh,92520,4117035000,3510,6980,6930,6730,6500,7020,7360,8090,8460,7950,7310,5640,10050
35,35117,Windsor West,96530,3599291000,3970,10120,8670,7120,6790,7470,8270,9030,8170,6920,6000,4470,9530
35,35118,York Centre,85790,3553369000,2960,6870,7020,7470,7830,7330,7550,7830,7250,5800,5010,3530,9340
35,35119,York--Simcoe,81930,3904321000,3510,6440,6750,7190,6820,6740,7160,8470,7970,6200,5020,3620,6060
35,35120,York South--Weston,91260,3025039000,3040,7440,8020,8140,7880,7420,7930,9030,8240,6610,5130,3800,8590
35,35121,Humber River--Black Creek,86940,2416132000,3470,8950,8580,8060,7300,6790,7500,8010,7010,5460,4450,3520,7850
TOTAL,,,10679920,5.18117E+11,422380,859440,881690,869810,836570,840780,890190,988930,948490,831310,726720,551800,1031820
46,46001,Brandon--Souris,68540,2957304000,2910,5920,6400,6240,5720,5300,4770,5160,5590,5160,4580,3430,7360
46,46002,Charleswood--St. James--Assiniboia--Headingley,65430,3398231000,2330,4870,4900,4980,4700,4780,4890,5670,5870,5420,4820,3970,8240
46,46003,Churchill--Keewatinook Aski,56120,1426778000,2580,6940,6790,5790,5090,4970,5030,4800,4430,3400,2500,1690,2090
46,46004,Dauphin--Swan River--Neepawa,65930,2449575000,2860,4920,4830,4770,4680,4550,4560,5250,6000,5930,5150,4090,8350
46,46005,Elmwood--Transcona,71790,2883052000,2720,5910,6810,7290,6840,6160,5600,6120,6060,5080,4260,2900,6040
46,46006,Kildonan--St. Paul,67890,3221055000,2690,5290,5060,4980,5130,5140,5180,5900,6220,5800,4890,3590,8030
46,46007,Portage--Lisgar,69620,2816816000,3980,6460,6160,6000,5540,5390,5370,5780,5960,5080,4160,3220,6520
46,46008,Provencher,76390,3269232000,4210,6820,6570,6840,6880,6340,6050,6750,6540,5680,4640,3420,5670
46,46009,Saint Boniface--Saint Vital,71200,3497956000,2550,5620,6150,6150,5920,5790,5580,5910,5810,5370,4770,3770,7790
46,46010,Selkirk--Interlake--Eastman,75550,3233295000,3150,5580,5020,4890,4600,5030,5610,7190,7660,7320,6390,4950,8160
46,46011,Winnipeg Centre,69120,2200645000,2170,6360,7930,7710,6730,5640,5310,5790,5440,4550,3910,2610,4980
46,46012,Winnipeg North,73320,2327103000,3300,7320,7160,7270,7140,6270,6160,6260,5940,5140,4270,2850,4260
46,46013,Winnipeg South,80620,3824118000,4310,9850,7660,6830,6550,6550,6630,6770,6360,5670,4670,3340,5440
46,46014,Winnipeg South Centre,73670,4441830000,2460,6130,7420,6910,5730,5270,5300,5570,5820,5530,4980,3770,8780
TOTAL,,,985170,41946991000,42210,87990,88870,86640,81270,77160,76020,82910,83700,75120,64000,47590,91700
47,47001,Battlefords--Lloydminster,55270,2392745000,2490,4860,5270,5380,4970,4140,3760,4490,4780,4330,3430,2470,4910
47,47002,Cypress Hills--Grasslands,54780,2611154000,2750,4140,4180,4080,3880,3470,3460,4690,5450,5070,3960,2950,6720
47,47003,Desnethé--Missinippi--Churchill River,48390,1361489000,2370,5640,5410,4570,4000,3870,3930,4080,3870,3350,2740,1790,2770
47,47004,Carlton Trail--Eagle Creek,58710,2819331000,2720,4360,5070,5680,5270,4860,4330,4880,5110,4760,3670,2710,5300
47,47005,Moose Jaw--Lake Centre--Lanigan,60630,3027663000,2450,4380,4700,4830,4770,4390,4020,5030,5810,5810,4660,3220,6560
47,47006,Prince Albert,64010,2720633000,2920,5450,5600,5240,4790,4520,4540,5230,5600,5140,4440,3410,7140
47,47007,Regina--Lewvan,72160,4032015000,2770,5800,7660,8110,7220,6010,5330,5910,6050,5260,3900,2730,5420
47,47008,Regina--Qu'Appelle,56670,2456465000,2270,4670,5400,5550,5150,4590,4450,4720,4700,4280,3400,2530,4940
47,47009,Regina--Wascana,67040,3687808000,2560,5850,6870,6560,5670,5130,4800,5400,5510,4790,3960,2900,7050
47,47010,Saskatoon--Grasswood,67120,3782915000,2350,5720,7190,6880,5790,4900,4610,5320,5310,4850,3760,2870,7560
47,47011,Saskatoon--University,62940,3594118000,2550,6260,7030,6390,5750,5140,4900,5110,4970,4400,3250,2280,4900
47,47012,Saskatoon West,66310,2769759000,2490,5640,7420,7680,6670,5560,5340,5410,5420,4480,3440,2290,4460
47,47013,Souris--Moose Mountain,59100,3049144000,2570,4590,5030,5070,4980,4380,4210,4920,5300,4850,3850,2980,6370
47,47014,Yorkton--Melville,55370,2371779000,2160,3800,3780,3850,4010,3750,3730,4540,5030,5040,4410,3420,7860
TOTAL,,,848490,40677018000,35410,71160,80600,79850,72910,64710,61400,69740,72920,66420,52870,38560,81950
48,48001,Banff--Airdrie,106530,6815209000,4330,8470,10770,12090,11730,10350,9170,8830,8710,7680,5640,3610,5150
48,48002,Battle River--Crowfoot,95550,4651508000,4610,7220,7180,7580,7200,6890,6850,8180,9060,8280,6930,5370,10220
48,48003,Bow River,87290,4372190000,4970,7000,7030,8030,8260,7990,7610,7600,7510,6550,5230,3630,5890
48,48004,Calgary Centre,95670,8468133000,1880,6180,14150,14450,10150,8080,7090,6750,6990,6090,4460,2990,6430
48,48005,Calgary Confederation,91090,6432139000,2390,6570,10540,11050,8990,7270,6780,6930,7370,6470,4750,3370,8620
48,48006,Calgary Forest Lawn,84780,3071705000,3100,7150,8040,8680,8270,7190,7270,7800,7690,6120,4810,3390,5290
48,48007,Calgary Heritage,87060,5575717000,3200,6470,7480,8080,7940,7820,7580,7510,7760,6540,5330,4020,7320
48,48008,Calgary Midnapore,96560,6020056000,4010,7640,8020,8690,8780,8720,8670,8950,8910,7210,5490,4000,7500
48,48009,Calgary Nose Hill,88930,4825103000,3720,7300,7580,7610,7630,7790,8500,8530,8250,7100,5350,3410,6180
48,48010,Calgary Rocky Ridge,98930,6300984000,4000,7680,8890,10630,10940,10460,9860,8900,7590,6580,4880,3140,5390
48,48011,Calgary Shepard,108380,6801903000,3750,7470,11090,14920,14250,11590,9860,9140,8380,6440,4550,2880,4060
48,48012,Calgary Signal Hill,89920,6915277000,3660,6420,6920,7910,8660,9250,9000,8460,8250,6420,4730,3400,6850
48,48013,Calgary Skyview,102640,3856584000,4510,9080,11370,13520,12880,11130,9130,7860,6700,5710,4370,2780,3580
48,48014,Edmonton Centre,85400,4786077000,1950,6860,10720,10530,8050,6520,6070,6540,6980,5930,4510,3080,7670
48,48015,Edmonton Griesbach,88410,3531081000,2580,7100,8750,8780,7800,6770,6950,7740,7860,6300,4860,3810,9120
48,48016,Edmonton Manning,91480,4347644000,3590,8280,10150,10310,9160,7730,7350,7750,7590,6280,4880,3220,5210
48,48017,Edmonton Mill Woods,90150,3949052000,3600,8210,10270,10700,9490,8290,6910,6780,6790,6420,4930,3080,4670
48,48018,Edmonton Riverbend,92410,6227539000,3450,7570,8760,9300,8880,7990,7980,7690,7170,6610,5310,3930,7780
48,48019,Edmonton Strathcona,79550,4565962000,2210,7280,10200,9120,7050,5500,5270,6010,6280,5600,4290,3040,7700
48,48020,Edmonton West,92750,5077796000,3480,7360,9030,10280,9740,8470,7660,7610,7810,6620,4860,3190,6650
48,48021,Edmonton--Wetaskiwin,122460,6696541000,4420,9720,14270,16730,15200,12230,9810,9070,8450,7150,5470,3860,6090
48,48022,Foothills,82940,5424602000,3950,6040,5310,5860,6510,6740,6910,7440,8090,7410,6420,4840,7410
48,48023,Fort McMurray--Cold Lake,80090,6102508000,3060,6960,10720,11390,9460,7740,7220,7510,6460,4130,2170,1380,1900
48,48024,Grande Prairie--Mackenzie,88080,4887638000,3950,8100,10060,10690,9230,7920,6950,7380,7080,5530,3880,2630,4680
48,48025,Lakeland,86610,4298734000,4160,6890,7160,7630,7270,6930,6730,7590,7810,6940,5500,4220,7790
48,48026,Lethbridge,88810,4272705000,3960,7980,8700,8420,7460,6560,6170,6780,7310,6730,5830,4390,8530
48,48027,Medicine Hat--Cardston--Warner,82880,3760470000,4230,6450,6810,7180,6910,6130,5940,6640,7470,6970,5650,4190,8300
48,48028,Peace River--Westlock,80010,3686531000,4430,7350,7670,7490,6870,6480,6320,6830,6750,6040,4580,3420,5760
48,48029,Red Deer--Mountain View,85240,4628094000,3440,6550,7260,7690,7390,6860,6710,7240,7870,6960,5490,4170,7610
48,48030,Red Deer--Lacombe,91970,4724304000,3700,7680,8950,9970,8720,7500,6970,7790,8240,6960,5290,3720,6490
48,48031,St. Albert--Edmonton,91830,5505929000,3860,7420,8110,9100,8680,8110,7830,8020,7870,6840,5520,3940,6530
48,48032,Sherwood Park--Fort Saskatchewan,94320,6491414000,4070,7550,7890,8520,8250,8100,8290,8610,8680,7000,5970,4570,6860
48,48033,Sturgeon River--Parkland,100330,5898798000,4300,7980,8600,9590,9280,8400,8500,9250,9170,7970,6300,4470,6520
48,48034,Yellowhead,70090,3585129000,3160,5450,5930,6470,5840,5490,5480,6530,6970,5800,4440,3280,5280
TOTAL,,,3099120,1.76555E+11,123660,249410,304330,328980,302890,270990,255360,262240,261840,223350,172680,122410,221000
59,59001,Abbotsford,80960,3352409000,3470,6750,6970,7130,6600,6130,6430,6410,6520,6080,5570,4260,8660
59,59002,Burnaby North--Seymour,82080,4311601000,3070,7360,6820,6410,6250,6580,7180,7440,7220,6470,5330,3890,8060
59,59003,Burnaby South,93990,3887715000,2780,8130,10110,9250,8050,7120,7670,8320,7710,6940,5790,4120,8020
59,59004,Cariboo--Prince George,85130,3774654000,3580,7020,7270,6880,6350,6260,6840,7500,8140,7580,6330,4570,6810
59,59005,Central Okanagan--Similkameen--Nicola,94040,4206425000,2880,5670,6100,6370,5760,5580,6150,7420,8980,9220,9060,7020,13820
59,59006,Chilliwack--Hope,80380,3371568000,3340,5920,5840,6230,5680,5710,6220,6760,7140,6700,6360,5250,9250
59,59007,Cloverdale--Langley City,89930,4220377000,3550,6730,7760,9460,9390,8670,8070,7660,6970,6250,5240,3860,6340
59,59008,Coquitlam--Port Coquitlam,98420,4480687000,3860,7910,7850,8300,8470,8630,9860,10020,9280,7580,5810,3960,6890
59,59009,Courtenay--Alberni,98550,4181659000,2700,5090,5260,5630,5700,5520,5990,7560,9470,10760,11200,9040,14640
59,59010,Cowichan--Malahat--Langford,88280,3955514000,2920,5580,6190,6880,6690,6300,6690,7940,8640,8380,7650,5470,8950
59,59011,Delta,82960,4233894000,3690,6890,5630,5590,5710,6200,7090,7740,7710,6920,6350,5000,8450
59,59012,Fleetwood--Port Kells,92240,3613298000,4350,8830,7750,7560,7680,7790,8700,8820,8170,6870,5430,3790,6510
59,59013,Kamloops--Thompson--Cariboo,103080,4665716000,3580,7710,8190,7910,7060,6820,7730,8870,10070,9590,8540,6380,10650
59,59014,Kelowna--Lake Country,99320,5029356000,4010,8020,7950,8050,7240,7120,7750,8720,9240,8300,7270,5330,10330
59,59015,Kootenay--Columbia,91110,4173484000,3250,5660,6700,7280,7220,6730,6580,7510,8800,8810,7960,5550,9050
59,59016,Langley--Aldergrove,93120,4855046000,3990,7160,7010,7510,7840,7610,8210,8430,8180,7270,6420,5000,8490
59,59017,Mission--Matsqui--Fraser Canyon,74940,2892669000,3090,5670,5890,6260,6170,5790,5870,6700,6990,6440,5600,4010,6450
59,59018,Nanaimo--Ladysmith,100770,4390505000,3060,6710,7060,7110,6630,6430,7140,8280,9370,9980,9400,7280,12320
59,59019,New Westminster--Burnaby,92710,4018885000,2820,7060,8990,9340,8320,7360,8320,8600,8040,6900,5650,4030,7300
59,59020,North Okanagan--Shuswap,106070,4539957000,3470,6280,6270,6720,6450,6360,7000,8950,10800,10940,10360,8040,14440
59,59021,North Vancouver,93510,5674070000,3430,6410,6840,7170,7740,8010,8870,9060,8700,7300,6160,4720,9120
59,59022,Pitt Meadows--Maple Ridge,79510,3885801000,3160,6030,5980,6610,6560,6550,7430,7880,7760,6160,5110,3670,6640
59,59023,Port Moody--Coquitlam,88280,4493241000,3370,7200,7190,7150,7170,7540,8590,8920,8170,6870,5300,3890,6920
59,59024,Prince George--Peace River--Northern Rockies,83840,4293349000,3660,7310,8280,8470,7290,6600,6880,7520,7820,6570,4900,3360,5190
59,59025,Richmond Centre,84820,3345480000,2800,6930,7600,6520,5690,6100,7570,8350,7980,7250,6380,4040,7610
59,59026,Esquimalt--Saanich--Sooke,95480,4451869000,3010,6640,7430,7870,7930,7410,7690,8620,8920,8600,7340,5150,8880
59,59027,Saanich--Gulf Islands,89630,4810525000,2970,5980,4960,4690,4870,5100,5960,6970,8150,9040,9310,7290,14330
59,59028,Skeena--Bulkley Valley,67340,2796688000,2720,5190,5530,5440,5020,5190,5510,6200,6700,6200,4910,3580,5160
59,59029,South Okanagan--West Kootenay,102150,4293006000,3280,5390,5640,6280,6100,6150,6700,8100,10390,10920,10310,8020,14890
59,59030,South Surrey--White Rock,85090,5136641000,2970,5230,4820,4870,5180,6180,7210,7530,7740,7680,7520,6290,11880
59,59031,Steveston--Richmond East,84850,3438807000,2980,6600,7160,6870,6450,6400,7560,8430,7820,7270,6150,4070,7100
59,59032,Surrey Centre,95710,2986847000,4140,9550,10050,9710,8740,7850,8040,8690,7930,6520,5170,3660,5660
59,59033,Surrey--Newton,90600,2968617000,4440,8900,8510,9330,8830,7960,7290,7070,6690,6160,5360,4020,6050
59,59034,Vancouver Centre,106840,7434918000,1340,6160,14730,15910,11270,7900,7470,7630,7260,7160,6500,4860,8650
59,59035,Vancouver East,95270,4169971000,1880,5610,11140,12170,9750,8070,8000,8140,7530,6350,5500,3440,7700
59,59036,Vancouver Granville,86350,5765706000,2250,6120,9180,9360,7520,6710,7680,7710,6690,6100,5680,3780,7580
59,59037,North Island--Powell River,86570,3740499000,2810,4810,5080,5390,5400,5400,6000,7640,9180,9600,8890,6500,9870
59,59038,Vancouver Kingsway,84860,3280998000,2820,7080,8950,8220,7470,7010,7130,7760,6850,6070,4950,3070,7490
59,59039,Vancouver Quadra,81220,5992699000,3480,8500,7960,6570,5280,5780,7920,7420,5830,5490,5350,3900,7740
59,59040,Vancouver South,84510,3167996000,3330,7690,7710,6950,6520,6520,7070,7550,7150,6280,5680,3660,8400
59,59041,Victoria,96870,5269949000,2210,6840,8950,8530,7410,6440,6690,6930,7750,8360,8480,6220,12050
59,59042,West Vancouver--Sunshine Coast--Sea to Sky Country,98850,6486246000,3380,7020,7570,7320,7140,7460,8110,8310,8520,8290,7990,6450,11290
TOTAL,,,3790190,1.80039E+11,133870,283350,312830,317240,294580,283020,306840,332060,338920,318180,284230,209480,375590
60,60001,Yukon,28700,1570830000,1100,2010,2740,3010,2610,2410,2330,2610,2860,2500,1870,1240,1420
TOTAL,,,28700,1570830000,1100,2010,2740,3010,2610,2410,2330,2610,2860,2500,1870,1240,1420
61,61001,Northwest Territories,31890,1890342000,1700,3120,3680,3520,3200,2730,2890,3050,2720,1990,1400,850,1040
TOTAL,,,31890,1890342000,1700,3120,3680,3520,3200,2730,2890,3050,2720,1990,1400,850,1040
62,62001,Nunavut,21440,1039849000,1540,2760,3030,2620,2200,1920,2010,1710,1350,940,620,370,380
TOTAL,,,21440,1039849000,1540,2760,3030,2620,2200,1920,2010,1710,1350,940,620,370,380
TOTAL,,,27977590,1.32116E+12,1080480,2161000,2306560,2328320,2277940,2192220,2253910,2513710,2516690,2256000,1949950,1475680,2665150
