Prov/Terr,FED ID,Federal Electoral Districts_x,Total_x,Total Income_x,Total_y,Total Income_y,Province,Federal Electoral Districts_y,Population,Electors,Polling Stations,Valid Ballots,Percentage of Valid Ballots,Rejected Ballots,Percentage of Rejected Ballots,Total Ballots Cast,Percentage of Voter Turnout,Party Won
24,24058.0,Portneuf--Jacques-Cartier,46690,2673662000.0,45690,1785329000,Quebec,Portneuf--Jacques-Cartier,104394,88337,258,62059,98.8,781,1.2,62840,71.1,Conservative
24,24059.0,Québec,38170,1776358000.0,41110,1532659000,Quebec,Québec,96525,79593,229,53867,98.5,820,1.5,54687,68.7,Liberal
24,24060.0,Repentigny,45200,2446819000.0,48860,1807025000,Quebec,Repentigny,111191,92117,252,65211,98.2,1179,1.8,66390,72.1,Bloc Québécois
24,24061.0,Richmond--Arthabaska,43440,1883363000.0,44170,1338560000,Quebec,Richmond--Arthabaska,103897,85894,263,58617,98.5,912,1.5,59529,69.3,Conservative
24,24062.0,Rivière-des-Mille-Îles,39790,2180407000.0,42710,1592448000,Quebec,Rivière-des-Mille-Îles,102816,81528,214,58046,98.4,927,1.6,58973,72.3,Liberal
24,24063.0,Rivière-du-Nord,44470,2052674000.0,46950,1495458000,Quebec,Rivière-du-Nord,102085,89667,242,56657,98.2,1044,1.8,57701,64.4,Bloc Québécois
24,24064.0,Rosemont--La Petite-Patrie,41000,1880683000.0,45070,1693576000,Quebec,Rosemont--La Petite-Patrie,106293,84884,239,58335,98.7,788,1.3,59123,69.7,NDP
24,24065.0,Marc-Aurèle-Fortin,38240,2094593000.0,41360,1635205000,Quebec,Marc-Aurèle-Fortin,96082,76396,199,54525,98.6,769,1.4,55294,72.4,Liberal
24,24066.0,Saint-Hyacinthe--Bagot,41500,1814585000.0,42600,1341747000,Quebec,Saint-Hyacinthe--Bagot,99629,81016,243,54369,97.8,1214,2.2,55583,68.6,NDP
24,24067.0,Saint-Jean,43800,2136052000.0,45830,1575850000,Quebec,Saint-Jean,108244,88519,245,60386,98.0,1231,2.0,61617,69.6,Liberal
24,24068.0,Saint-Laurent,36300,1794376000.0,40210,1367911000,Quebec,Saint-Laurent,93842,69138,179,40330,99.0,409,1.0,40739,58.9,Liberal
24,24069.0,Saint-Léonard--Saint-Michel,40560,1414708000.0,45730,1193836000,Quebec,Saint-Léonard--Saint-Michel,110649,76746,205,44531,98.5,689,1.5,45220,58.9,Liberal
24,24070.0,Saint-Maurice--Champlain,44590,1848778000.0,45430,1313805000,Quebec,Saint-Maurice--Champlain,110273,92352,272,58947,98.0,1175,2.0,60122,65.1,Liberal
24,24071.0,Salaberry--Suroît,45880,2047466000.0,47590,1472465000,Quebec,Salaberry--Suroît,107036,92604,269,61535,98.4,998,1.6,62533,67.5,NDP
24,24072.0,Shefford,45060,2042426000.0,45980,1481040000,Quebec,Shefford,107538,88533,267,58920,97.8,1299,2.2,60219,68.0,Liberal
24,24073.0,Sherbrooke,42440,1761236000.0,46980,1526959000,Quebec,Sherbrooke,107988,87658,248,57300,98.6,796,1.4,58096,66.3,NDP
24,24074.0,Vaudreuil--Soulanges,45190,2713851000.0,47710,1949504000,Quebec,Vaudreuil--Soulanges,111905,90804,251,65528,98.9,714,1.1,66242,73.0,Liberal
24,24075.0,Terrebonne,42750,2297606000.0,44630,1635643000,Quebec,Terrebonne,106322,84502,209,58284,97.9,1256,2.1,59540,70.5,Bloc Québécois
24,24076.0,Trois-Rivières,42980,1973647000.0,48530,1551904000,Quebec,Trois-Rivières,108774,91098,261,60289,98.5,940,1.5,61229,67.2,NDP
