FED ID,Federal Electoral Districts,No Certificate,Secondary School Diploma,Non-university certificate or diploma,University level or above
35103,Surrey--Newton,24%,39%,15%,22%
59032,Sydney--Victoria,26%,32%,24%,18%
59033,Terrebonne,25%,31%,24%,19%
12010,Thérèse-De Blainville,21%,27%,25%,27%
24075,Thornhill,11%,24%,18%,47%
24013,Thunder Bay--Rainy River,23%,32%,28%,17%
35104,Thunder Bay--Superior North,22%,28%,27%,23%
35105,Timmins--James Bay,30%,29%,30%,11%
35106,Tobique--Mactaquac,23%,36%,24%,16%
35107,Toronto Centre,8%,21%,15%,55%
13010,Toronto--Danforth,15%,22%,17%,45%
35108,Toronto--St. Paul's,9%,19%,15%,58%
35109,Trois-Rivières,23%,27%,26%,25%
35090,University--Rosedale,8%,20%,10%,62%
24076,Vancouver Centre,4%,19%,18%,58%
35110,Vancouver East,16%,27%,18%,39%
59034,Vancouver Granville,8%,23%,16%,54%
59035,Vancouver Kingsway,20%,31%,16%,32%
59036,Vancouver Quadra,8%,23%,12%,58%
59038,Vancouver South,20%,33%,16%,31%
59039,Vaudreuil--Soulanges,17%,30%,26%,27%
59040,Vaughan--Woodbridge,23%,29%,20%,28%
24074,Victoria,10%,28%,19%,44%
35111,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,8%,19%,15%,58%
59041,Vimy,24%,27%,22%,27%
24077,Waterloo,12%,28%,18%,42%
24078,Wellington--Halton Hills,17%,32%,26%,24%
35112,West Nova,30%,28%,28%,14%
35113,West Vancouver--Sunshine Coast--Sea to Sky Country,12%,30%,19%,39%
12011,Whitby,14%,30%,28%,28%
59042,Willowdale,8%,22%,14%,56%
35114,Windsor West,19%,33%,21%,27%
35115,Windsor--Tecumseh,18%,35%,26%,21%
35117,Winnipeg Centre,23%,31%,18%,28%
35116,Winnipeg North,25%,33%,19%,23%
46011,Winnipeg South,12%,31%,18%,39%
46012,Winnipeg South Centre,11%,28%,16%,45%
46013,Yellowhead,29%,37%,22%,12%
46014,York Centre,18%,28%,19%,34%
48034,York South--Weston,30%,33%,20%,17%
35118,York--Simcoe,20%,35%,27%,18%
35120,Yorkton--Melville,28%,38%,21%,13%
35119,Yukon,18%,27%,25%,30%
47014,Grand Total,19%,30%,23%,28%
60,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
60001,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
