,FED ID,Federal Electoral Districts_x,No Certificate,Secondary School Diploma,Non-university certificate or diploma,University level or above,ï»¿Province,Party Won
69,59007,Cloverdale--Langley City,17.00%,38.00%,23.00%,22.00%,British Columba,Liberal
70,10003,Coast of Bays--Central--Notre Dame,34.00%,30.00%,25.00%,10.00%,Newfoundland and Labrador,Liberal
71,24023,Compton--Stanstead,27.00%,28.00%,23.00%,22.00%,Quebec,Liberal
72,59008,Coquitlam--Port Coquitlam,13.00%,33.00%,21.00%,32.00%,British Columba,Liberal
73,59009,Courtenay--Alberni,20.00%,35.00%,25.00%,19.00%,British Columba,NDP
74,59010,Cowichan--Malahat--Langford,19.00%,36.00%,25.00%,20.00%,British Columba,NDP
75,12003,Cumberland--Colchester,24.00%,32.00%,27.00%,17.00%,Nova Scotia,Liberal
76,47002,Cypress Hills--Grasslands,24.00%,39.00%,23.00%,14.00%,Saskatchewan,Conservative
77,12004,Dartmouth--Cole Harbour,16.00%,30.00%,26.00%,29.00%,Nova Scotia,Liberal
78,46004,Dauphin--Swan River--Neepawa,34.00%,34.00%,21.00%,11.00%,Manitoba,Conservative
79,35018,Davenport,22.00%,25.00%,17.00%,36.00%,Ontario,Liberal
80,59011,Delta,16.00%,36.00%,21.00%,26.00%,British Columba,Liberal
81,47003,DesnethÃ©--Missinippi--Churchill River,48.00%,28.00%,15.00%,9.00%,Saskatchewan,NDP
82,35019,Don Valley East,16.00%,28.00%,19.00%,37.00%,Ontario,Liberal
83,35020,Don Valley North,11.00%,23.00%,16.00%,50.00%,Ontario,Liberal
84,35021,Don Valley West,11.00%,20.00%,13.00%,56.00%,Ontario,Liberal
85,24024,Dorval--Lachine--LaSalle,21.00%,29.00%,21.00%,28.00%,Quebec,Liberal
86,24025,Drummond,31.00%,29.00%,24.00%,15.00%,Quebec,NDP
87,35022,Dufferin--Caledon,18.00%,34.00%,27.00%,21.00%,Ontario,Conservative
88,35023,Durham,16.00%,32.00%,32.00%,20.00%,Ontario,Conservative
89,48014,Edmonton Centre,14.00%,29.00%,19.00%,38.00%,Alberta,Liberal
90,48015,Edmonton Griesbach,27.00%,35.00%,21.00%,17.00%,Alberta,Conservative
91,48016,Edmonton Manning,21.00%,36.00%,23.00%,20.00%,Alberta,Conservative
92,48017,Edmonton Mill Woods,18.00%,35.00%,21.00%,26.00%,Alberta,Liberal
93,48018,Edmonton Riverbend,10.00%,24.00%,19.00%,47.00%,Alberta,Conservative
94,48019,Edmonton Strathcona,11.00%,27.00%,18.00%,44.00%,Alberta,NDP
95,48020,Edmonton West,16.00%,32.00%,22.00%,30.00%,Alberta,Conservative
96,48021,Edmonton--Wetaskiwin,17.00%,33.00%,23.00%,27.00%,Alberta,Conservative
97,35024,Eglinton--Lawrence,14.00%,23.00%,15.00%,48.00%,Ontario,Liberal
