Prov/Terr,FED ID,Federal Electoral Districts,Total,Total Income,"Under $5,000","$5,000 to $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $54,999","$55,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","$100,000 to $149,999","$150,000 to $249,999","$250,000 and over",
35,35115,Willowdale,53840,2079315000 ,11800 ,4090 ,4910 ,4970 ,3280 ,2530 ,2310 ,2020 ,1920 ,1850 ,1560 ,1310 ,2400 ,1990 ,1480 ,1360 ,2630 ,1070 ,370 ,
35,35116,Windsor--Tecumseh,48810,1780462000 ,4900 ,3110 ,4740 ,5210 ,4450 ,3300 ,3180 ,3090 ,2870 ,2570 ,1830 ,1430 ,2220 ,1530 ,1250 ,1190 ,1420 ,400 ,120 ,
35,35117,Windsor West,49000,1494925000 ,8520 ,3870 ,5440 ,5610 ,4250 ,3020 ,2690 ,2470 ,2240 ,1980 ,1460 ,1080 ,1660 ,1210 ,900 ,960 ,1210 ,340 ,80 ,
35,35118,York Centre,46250,1648056000 ,5980 ,3280 ,5020 ,5810 ,4410 ,3230 ,2760 ,2430 ,2110 ,1900 ,1420 ,1110 ,1720 ,1250 ,860 ,820 ,1350 ,530 ,250 ,
35,35119,York--Simcoe,41570,1618172000 ,4530 ,2830 ,3860 ,3940 ,3400 ,2540 ,2440 ,2350 ,2310 ,2130 ,1670 ,1380 ,2170 ,1630 ,1190 ,1180 ,1490 ,400 ,160 ,
35,35120,York South--Weston,48350,1393265000 ,6430 ,4090 ,6000 ,6630 ,4700 ,3470 ,2940 ,2390 ,2270 ,1890 ,1410 ,1090 ,1630 ,1010 ,710 ,620 ,840 ,190 ,60 ,
35,35121,Humber River--Black Creek,45640,1087810000 ,8140 ,4320 ,6170 ,6350 ,4460 ,3220 ,2710 ,2250 ,1840 ,1410 ,1060 ,780 ,1040 ,640 ,420 ,340 ,390 ,80 ,20 ,
TOTAL,,,5538640,222285162000 ,674470 ,370220 ,518100 ,550660 ,449570 ,327870 ,305560 ,295910 ,278070 ,262960 ,201600 ,171820 ,275410 ,212170 ,159150 ,151210 ,222560 ,79180 ,32160 ,
46,46001,Brandon--Souris,35270,1264832000 ,3260 ,2760 ,3010 ,3570 ,3210 ,2700 ,2600 ,2550 ,2140 ,1810 ,1290 ,940 ,1560 ,1150 ,1010 ,590 ,760 ,270 ,120 ,
46,46002,Charleswood--St. James--Assiniboia--Headingley,34440,1495320000 ,2400 ,1690 ,2320 ,2680 ,2770 ,2450 ,2450 ,2490 ,2260 ,2220 ,1610 ,1410 ,2200 ,1540 ,1320 ,890 ,1220 ,370 ,150 ,
46,46003,Churchill--Keewatinook Aski,27950,552492000 ,13830 ,1490 ,1640 ,2100 ,1330 ,1000 ,950 ,730 ,660 ,660 ,480 ,420 ,600 ,520 ,420 ,400 ,590 ,100 ,20 ,
46,46004,Dauphin--Swan River--Neepawa,33060,1043883000 ,4490 ,2090 ,3140 ,4240 ,3280 ,2460 ,2260 ,2070 ,1620 ,1500 ,1010 ,790 ,1220 ,860 ,730 ,490 ,580 ,160 ,80 ,
46,46005,Elmwood--Transcona,37150,1265613000 ,3590 ,2370 ,3140 ,3470 ,3430 ,2970 ,2930 ,2890 ,2440 ,2030 ,1540 ,1270 ,1740 ,1220 ,820 ,530 ,650 ,120 ,20 ,
46,46006,Kildonan--St. Paul,35840,1434810000 ,2980 ,1940 ,2660 ,3230 ,3360 ,2680 ,2550 ,2570 ,2250 ,1960 ,1520 ,1320 ,1940 ,1350 ,1110 ,840 ,1110 ,350 ,140 ,
46,46007,Portage--Lisgar,35300,1132561000 ,4710 ,3120 ,3610 ,3690 ,3290 ,2630 ,2470 ,2150 ,1710 ,1530 ,990 ,810 ,1310 ,970 ,800 ,500 ,690 ,250 ,110 ,
46,46008,Provencher,37950,1268599000 ,4940 ,2820 ,3500 ,3810 ,3270 ,2870 ,2660 ,2440 ,1990 ,1720 ,1290 ,1130 ,1610 ,1180 ,970 ,580 ,850 ,220 ,80 ,
46,46009,Saint Boniface--Saint Vital,37380,1563219000 ,3410 ,2090 ,2660 ,3230 ,3090 ,2600 ,2480 ,2530 ,2250 ,2090 ,1680 ,1320 ,2200 ,1560 ,1380 ,840 ,1440 ,390 ,150 ,
46,46010,Selkirk--Interlake--Eastman,38120,1333306000 ,4320 ,2470 ,3190 ,3910 ,3560 ,2890 ,2810 ,2570 ,2100 ,1960 ,1330 ,1110 ,1790 ,1220 ,1000 ,680 ,950 ,190 ,80 ,
46,46011,Winnipeg Centre,34460,980062000 ,4820 ,3050 ,3950 ,4550 ,3290 ,2620 ,2250 ,2030 ,1680 ,1290 ,990 ,690 ,1070 ,670 ,500 ,340 ,470 ,150 ,60 ,
46,46012,Winnipeg North,37480,1053453000 ,5280 ,3020 ,3900 ,4410 ,3590 ,3050 ,2780 ,2490 ,2090 ,1700 ,1100 ,860 ,1100 ,710 ,510 ,370 ,430 ,80 ,20 ,
46,46013,Winnipeg South,40970,1644419000 ,6270 ,2700 ,2870 ,2950 ,2790 ,2340 ,2350 ,2240 ,2150 ,2130 ,1580 ,1410 ,2280 ,1780 ,1620 ,1140 ,1770 ,450 ,160 ,
46,46014,Winnipeg South Centre,38940,1955080000 ,3450 ,2070 ,2510 ,2980 ,2910 ,2420 ,2330 ,2280 ,2170 ,2050 ,1680 ,1450 ,2420 ,1970 ,1540 ,1220 ,2150 ,930 ,450 ,
TOTAL,,,504310,17987649000 ,67740 ,33690 ,42090 ,48820 ,43160 ,35660 ,33850 ,32040 ,27490 ,24660 ,18060 ,14920 ,23010 ,16690 ,13720 ,9410 ,13670 ,4020 ,1640 ,
47,47001,Battlefords--Lloydminster,27850,958442000 ,4670 ,1770 ,2110 ,2620 ,2230 ,1890 ,1700 ,1720 ,1510 ,1330 ,1040 ,800 ,1270 ,880 ,740 ,510 ,780 ,210 ,80 ,
47,47002,Cypress Hills--Grasslands,27540,1066025000 ,2030 ,1590 ,2540 ,3030 ,2500 ,2080 ,1910 ,1870 ,1690 ,1480 ,1090 ,860 ,1310 ,940 ,760 ,560 ,890 ,300 ,110 ,
47,47003,Desnethé--Missinippi--Churchill River,24360,558327000 ,9200 ,1760 ,1930 ,2390 ,1430 ,1020 ,890 ,880 ,720 ,680 ,520 ,390 ,670 ,500 ,420 ,340 ,460 ,110 ,30 ,
47,47004,Carlton Trail--Eagle Creek,29170,1070083000 ,3370 ,1850 ,2540 ,2850 ,2390 ,2030 ,1860 ,1830 ,1680 ,1580 ,1180 ,910 ,1460 ,1080 ,850 ,530 ,880 ,230 ,70 ,
47,47005,Moose Jaw--Lake Centre--Lanigan,30530,1201232000 ,2750 ,1780 ,2400 ,3050 ,2860 ,2220 ,2100 ,1950 ,1740 ,1650 ,1250 ,1000 ,1530 ,1160 ,870 ,710 ,1120 ,310 ,110 ,
47,47006,Prince Albert,33250,1178793000 ,4070 ,2250 ,2800 ,3730 ,3010 ,2340 ,1980 ,1990 ,1760 ,1540 ,1200 ,1000 ,1470 ,1190 ,990 ,620 ,980 ,270 ,70 ,
47,47007,Regina--Lewvan,37250,1764883000 ,3170 ,1730 ,2110 ,2610 ,2500 ,2240 ,2190 ,2200 ,2310 ,2210 ,1860 ,1590 ,2660 ,2070 ,1710 ,1270 ,2100 ,590 ,170 ,
47,47008,Regina--Qu'Appelle,28600,1040752000 ,3650 ,1640 ,2150 ,3090 ,2690 ,1950 ,1690 ,1720 ,1570 ,1490 ,1150 ,950 ,1340 ,990 ,790 ,570 ,870 ,240 ,80 ,
47,47009,Regina--Wascana,34200,1583247000 ,3310 ,1740 ,2090 ,3040 ,2730 ,2180 ,1840 ,1940 ,1750 ,1830 ,1430 ,1260 ,2020 ,1700 ,1410 ,1100 ,1970 ,630 ,230 ,
47,47010,Saskatoon--Grasswood,35160,1612178000 ,3300 ,1830 ,2190 ,2820 ,2650 ,2220 ,2080 ,2080 ,1980 ,1980 ,1460 ,1330 ,2280 ,1760 ,1420 ,1080 ,1850 ,640 ,200 ,
47,47011,Saskatoon--University,32440,1504606000 ,3570 ,1920 ,2090 ,2420 ,2180 ,1890 ,1860 ,1860 ,1730 ,1700 ,1400 ,1170 ,2090 ,1580 ,1320 ,990 ,1750 ,700 ,240 ,
47,47012,Saskatoon West,33820,1172131000 ,3840 ,2200 ,2830 ,3770 ,3370 ,2520 ,2280 ,2110 ,1980 ,1700 ,1340 ,1010 ,1520 ,1060 ,760 ,510 ,740 ,200 ,80 ,
47,47013,Souris--Moose Mountain,29250,1128594000 ,3260 ,1830 ,2190 ,2790 ,2430 ,2220 ,1950 ,1800 ,1680 ,1570 ,1240 ,970 ,1400 ,1000 ,860 ,640 ,1040 ,290 ,100 ,
47,47014,Yorkton--Melville,27830,951598000 ,2930 ,1680 ,2530 ,3660 ,2750 ,2150 ,1750 ,1740 ,1530 ,1380 ,950 ,740 ,1100 ,820 ,670 ,460 ,780 ,190 ,50 ,
TOTAL,,,431240,16790891000 ,53110 ,25560 ,32490 ,41860 ,35710 ,28940 ,26080 ,25690 ,23620 ,22110 ,17100 ,13990 ,22120 ,16720 ,13560 ,9870 ,16200 ,4890 ,1620 ,
48,48001,Banff--Airdrie,53850,2522513000 ,6390 ,3130 ,3290 ,3520 ,3820 ,3470 ,3120 ,3040 ,2730 ,2820 ,2350 ,2040 ,3280 ,2460 ,1860 ,1720 ,3180 ,1170 ,450 ,
48,48002,Battle River--Crowfoot,48040,1784246000 ,4890 ,3100 ,4240 ,4320 ,5260 ,3890 ,3020 ,2960 ,2480 ,2340 ,1830 ,1510 ,2330 ,1530 ,1140 ,1050 ,1560 ,440 ,180 ,
48,48003,Bow River,43390,1647923000 ,6350 ,2930 ,3870 ,3510 ,3720 ,2970 ,2410 ,2350 ,2140 ,2090 ,1570 ,1330 ,2080 ,1470 ,1080 ,960 ,1730 ,600 ,220 ,
48,48004,Calgary Centre,46870,3053116000 ,4640 ,2230 ,2500 ,3100 ,3910 ,2680 ,2120 ,2090 ,1950 ,1870 ,1750 ,1510 ,2790 ,2420 ,1910 ,1710 ,4110 ,2310 ,1300 ,
48,48005,Calgary Confederation,46820,2625820000 ,5120 ,2490 ,2670 ,2940 ,3940 ,2770 ,2210 ,2200 ,1950 ,2080 ,1680 ,1590 ,2710 ,2240 ,1800 ,1660 ,3970 ,1990 ,820 ,
48,48006,Calgary Forest Lawn,41940,1264949000 ,6500 ,3110 ,3680 ,4060 ,4610 ,3340 ,2770 ,2410 ,2200 ,1910 ,1400 ,1150 ,1670 ,1040 ,690 ,450 ,730 ,170 ,40 ,
48,48007,Calgary Heritage,45210,2241818000 ,5520 ,2490 ,2700 ,2940 ,3250 ,2910 ,2440 ,2440 ,2210 ,2200 ,1810 ,1640 ,2780 ,2160 ,1680 ,1440 ,2930 ,1200 ,490 ,
48,48008,Calgary Midnapore,49520,2333259000 ,5740 ,2930 ,3220 ,3240 ,3720 ,3150 ,2710 ,2630 ,2550 ,2540 ,2030 ,1790 ,3040 ,2350 ,1690 ,1570 ,3110 ,1160 ,370 ,
48,48009,Calgary Nose Hill,45690,1990456000 ,6190 ,2910 ,3320 ,3470 ,3450 ,2880 ,2430 ,2330 ,2110 ,2160 ,1740 ,1410 ,2590 ,1990 ,1490 ,1360 ,2720 ,880 ,270 ,
48,48010,Calgary Rocky Ridge,51120,2491169000 ,7240 ,2990 ,3050 ,3060 ,3050 ,2610 ,2470 ,2350 ,2370 ,2320 ,2040 ,1850 ,3180 ,2690 ,2110 ,1980 ,4160 ,1240 ,360 ,
48,48011,Calgary Shepard,54530,2567087000 ,6550 ,3070 ,3370 ,3430 ,3580 ,3230 ,2880 ,2820 ,2760 ,2760 ,2470 ,2220 ,3610 ,2790 ,2210 ,1900 ,3520 ,1040 ,320 ,
48,48012,Calgary Signal Hill,47130,2683607000 ,5730 ,2610 ,2810 ,2900 ,3270 ,2580 ,2220 ,2130 ,1970 ,2040 ,1700 ,1510 ,2600 ,2210 ,1870 ,1660 ,4380 ,2100 ,860 ,
48,48013,Calgary Skyview,51380,1566750000 ,9930 ,3780 ,4350 ,4430 ,4480 ,3690 ,3100 ,2790 ,2500 ,2300 ,1870 ,1490 ,2110 ,1470 ,970 ,710 ,1150 ,230 ,50 ,
48,48014,Edmonton Centre,42340,1993562000 ,4210 ,2420 ,2760 ,3480 ,4140 ,3030 ,2290 ,2210 ,1980 ,2030 ,1680 ,1460 ,2360 ,1900 ,1400 ,1150 ,2480 ,960 ,400 ,
48,48015,Edmonton Griesbach,43280,1419835000 ,5390 ,2890 ,3690 ,4660 ,5470 ,3590 ,2570 ,2220 ,2000 ,1810 ,1510 ,1280 ,2000 ,1360 ,860 ,660 ,1050 ,220 ,60 ,
48,48016,Edmonton Manning,46890,1762076000 ,6010 ,2840 ,3560 ,3780 ,4180 ,3130 ,2620 ,2550 ,2480 ,2400 ,2160 ,1850 ,2860 ,2060 ,1310 ,1080 ,1670 ,310 ,50 ,
48,48017,Edmonton Mill Woods,45420,1573608000 ,6700 ,3090 ,3590 ,3780 ,3940 ,3310 ,2890 ,2550 ,2310 ,2260 ,1870 ,1560 ,2390 ,1590 ,1100 ,840 ,1350 ,230 ,60 ,
48,48018,Edmonton Riverbend,47690,2475320000 ,5820 ,2660 ,2880 ,2950 ,3100 ,2650 ,2330 ,2220 ,2090 ,2340 ,1940 ,1730 ,2960 ,2510 ,1900 ,1770 ,3870 ,1450 ,520 ,
48,48019,Edmonton Strathcona,40120,1911357000 ,4280 ,2200 ,2570 ,2880 ,3740 ,2630 ,2080 ,1940 ,1830 ,1830 ,1610 ,1360 ,2450 ,1910 ,1470 ,1340 ,2720 ,960 ,330 ,
48,48020,Edmonton West,48010,2097273000 ,5240 ,2720 ,3190 ,3520 ,4030 ,3330 ,2780 ,2620 ,2640 ,2560 ,2130 ,1920 ,3010 ,2130 ,1470 ,1370 ,2410 ,700 ,250 ,
48,48021,Edmonton--Wetaskiwin,61980,2488177000 ,9430 ,3710 ,3980 ,4380 ,4780 ,4030 ,3520 ,3270 ,3130 ,2920 ,2480 ,2240 ,3730 ,2690 ,2060 ,1790 ,2960 ,720 ,190 ,
48,48022,Foothills,42090,1904252000 ,5020 ,2700 ,3240 ,3140 ,3800 ,3030 ,2600 ,2400 ,2030 ,1900 ,1550 ,1280 ,2010 ,1530 ,1110 ,1080 ,2190 ,980 ,500 ,
48,48023,Fort McMurray--Cold Lake,37340,1744132000 ,7060 ,2180 ,2120 ,2240 ,2280 ,1990 ,1780 ,1570 ,1540 ,1470 ,1300 ,1210 ,2070 ,1600 ,1270 ,1130 ,2790 ,1530 ,200 ,
48,48024,Grande Prairie--Mackenzie,43200,1695725000 ,5990 ,2840 ,3160 ,3380 ,3760 ,3000 ,2520 ,2470 ,2130 ,2070 ,1690 ,1430 ,2260 ,1670 ,1190 ,1100 ,1910 ,460 ,170 ,
48,48025,Lakeland,43120,1588072000 ,6220 ,2680 ,3350 ,3650 ,4360 ,3150 ,2590 ,2330 ,2130 ,1930 ,1580 ,1430 ,2060 ,1460 ,1080 ,960 ,1560 ,450 ,150 ,
48,48026,Lethbridge,45470,1774507000 ,4770 ,2820 ,3530 ,3780 ,4670 ,3490 ,2960 ,2710 ,2450 ,2350 ,1820 ,1580 ,2250 ,1710 ,1140 ,1040 ,1750 ,480 ,190 ,
48,48027,Medicine Hat--Cardston--Warner,42570,1483515000 ,5450 ,2910 ,3870 ,3950 ,4720 ,3350 ,2560 ,2520 ,2060 ,2060 ,1420 ,1150 ,1750 ,1250 ,900 ,850 ,1320 ,350 ,140 ,
48,48028,Peace River--Westlock,39450,1314906000 ,7510 ,2780 ,3170 ,3400 ,3880 ,2650 ,2140 ,1960 ,1710 ,1550 ,1270 ,1090 ,1680 ,1220 ,870 ,840 ,1290 ,330 ,120 ,
48,48029,Red Deer--Mountain View,43450,1786256000 ,4510 ,2650 ,3140 ,3400 ,4130 ,3240 ,2800 ,2630 ,2260 ,2200 ,1780 ,1530 ,2400 ,1710 ,1250 ,1130 ,1890 ,620 ,190 ,
48,48030,Red Deer--Lacombe,46360,1760666000 ,5560 ,3060 ,3500 ,4060 ,4420 ,3360 ,3080 ,2780 ,2530 ,2300 ,1790 ,1510 ,2340 ,1650 ,1160 ,1010 ,1640 ,440 ,180 ,
48,48031,St. Albert--Edmonton,47420,2185661000 ,5050 ,2480 ,2930 ,3070 ,3500 ,2940 ,2530 ,2580 ,2500 ,2550 ,2230 ,1920 ,3240 ,2430 ,1790 ,1690 ,2990 ,810 ,210 ,
48,48032,Sherwood Park--Fort Saskatchewan,47710,2370652000 ,4490 ,2410 ,2790 ,2970 ,3360 ,3050 ,2610 ,2630 ,2410 ,2620 ,2060 ,1880 ,3290 ,2530 ,2020 ,1840 ,3390 ,1040 ,310 ,
48,48033,Sturgeon River--Parkland,49890,2064798000 ,6500 ,3020 ,3570 ,3730 ,4070 ,3380 ,2790 ,2720 ,2440 ,2490 ,2080 ,1790 ,2910 ,2220 ,1540 ,1380 ,2350 ,690 ,230 ,
48,48034,Yellowhead,34300,1217472000 ,4810 ,2460 ,2700 ,2950 ,3630 ,2560 ,2240 ,1860 ,1730 ,1530 ,1130 ,970 ,1520 ,1140 ,810 ,700 ,1170 ,300 ,110 ,
TOTAL,,,1563560,67384534000 ,200780 ,95260 ,110350 ,118060 ,133980 ,105030 ,88170 ,83290 ,76290 ,74580 ,61320 ,53210 ,86270 ,65080 ,48200 ,42920 ,81960 ,28550 ,10270 ,
59,59001,Abbotsford,41610,1371642000 ,4620 ,2760 ,4890 ,5060 ,4250 ,3110 ,2630 ,2440 ,2070 ,1860 ,1410 ,1090 ,1600 ,1100 ,870 ,580 ,870 ,300 ,110 ,
59,59002,Burnaby North--Seymour,42410,1828779000 ,5850 ,2630 ,3580 ,3660 ,3020 ,2280 ,2120 ,2230 ,2030 ,2050 ,1750 ,1520 ,2360 ,1820 ,1400 ,1030 ,2070 ,710 ,300 ,
59,59003,Burnaby South,49140,1690398000 ,8640 ,3530 ,4820 ,4930 ,3610 ,2820 ,2580 ,2410 ,2230 ,2250 ,1740 ,1430 ,2230 ,1710 ,1210 ,860 ,1470 ,490 ,180 ,
59,59004,Cariboo--Prince George,42810,1447890000 ,5380 ,2890 ,4480 ,4550 ,3890 ,3040 ,2600 ,2590 ,2130 ,1980 ,1490 ,1280 ,2030 ,1410 ,1010 ,690 ,970 ,280 ,90 ,
59,59005,Central Okanagan--Similkameen--Nicola,49170,1775505000 ,4300 ,2880 ,4920 ,5550 ,5200 ,3940 ,3280 ,3360 ,2590 ,2540 ,1850 ,1430 ,2120 ,1580 ,1100 ,730 ,1200 ,430 ,190 ,
59,59006,Chilliwack--Hope,41530,1387215000 ,4580 ,2720 ,4580 ,4700 ,4400 ,3210 ,2780 ,2600 ,2090 ,1920 ,1400 ,1090 ,1520 ,1130 ,940 ,610 ,890 ,290 ,100 ,
59,59007,Cloverdale--Langley City,46860,1734290000 ,5280 ,2830 ,4210 ,4310 ,3910 ,3120 ,2910 ,3000 ,2680 ,2520 ,2030 ,1720 ,2520 ,1780 ,1400 ,890 ,1300 ,360 ,100 ,
59,59008,Coquitlam--Port Coquitlam,51310,1858422000 ,7920 ,3530 ,4710 ,4710 ,3580 ,2900 ,2690 ,2800 ,2540 ,2540 ,2110 ,1780 ,2660 ,2020 ,1530 ,990 ,1680 ,460 ,150 ,
59,59009,Courtenay--Alberni,51430,1804048000 ,4200 ,2860 ,5200 ,5870 ,5680 ,4210 ,3480 ,3730 ,2930 ,2800 ,1860 ,1400 ,2150 ,1690 ,1090 ,690 ,1070 ,380 ,140 ,
59,59010,Cowichan--Malahat--Langford,45830,1682741000 ,4220 ,2830 ,4220 ,4510 ,4370 ,3330 ,3040 ,3090 ,2590 ,2580 ,1910 ,1550 ,2250 ,1690 ,1200 ,820 ,1140 ,380 ,100 ,
59,59011,Delta,42760,1756202000 ,4660 ,2560 ,3820 ,3900 ,3270 ,2660 ,2470 ,2590 ,2330 ,2330 ,1860 ,1530 ,2260 ,1790 ,1330 ,960 ,1690 ,560 ,220 ,
59,59012,Fleetwood--Port Kells,47290,1507322000 ,7520 ,3680 ,5390 ,4940 ,3610 ,2960 ,2690 ,2710 ,2300 ,2170 ,1630 ,1310 ,1940 ,1320 ,950 ,700 ,1060 ,330 ,110 ,
59,59013,Kamloops--Thompson--Cariboo,52600,1881146000 ,5350 ,3310 ,5210 ,5460 ,5260 ,3790 ,3400 ,3470 ,2910 ,2680 ,2030 ,1620 ,2300 ,1740 ,1290 ,850 ,1360 ,430 ,130 ,
59,59014,Kelowna--Lake Country,51040,2092146000 ,4400 ,3160 ,4450 ,4890 ,4510 ,3740 ,3230 ,3370 ,2880 ,2870 ,2030 ,1730 ,2560 ,1960 ,1400 ,990 ,1800 ,770 ,300 ,
59,59015,Kootenay--Columbia,45910,1597806000 ,4360 ,3030 ,4530 ,5090 ,4840 ,3670 ,3010 ,3020 ,2480 ,2270 ,1600 ,1310 ,1990 ,1440 ,990 ,690 ,1120 ,370 ,110 ,
59,59016,Langley--Aldergrove,47950,1956643000 ,5260 ,2930 ,4050 ,4180 ,3950 ,3250 ,2890 ,2970 ,2660 ,2530 ,2000 ,1630 ,2650 ,1900 ,1500 ,960 ,1790 ,610 ,260 ,
59,59017,Mission--Matsqui--Fraser Canyon,37810,1137874000 ,5500 ,2820 ,4630 ,4570 ,3610 ,2650 ,2340 ,2030 ,1790 ,1530 ,1150 ,930 ,1230 ,930 ,680 ,450 ,680 ,200 ,80 ,
59,59018,Nanaimo--Ladysmith,52650,1926626000 ,4560 ,2960 ,5150 ,5570 ,5290 ,3930 ,3540 ,3530 ,2940 ,2950 ,2070 ,1690 ,2500 ,1890 ,1300 ,920 ,1310 ,420 ,130 ,
59,59019,New Westminster--Burnaby,48130,1779926000 ,6180 ,2990 ,4570 ,4660 ,3710 ,2970 ,2760 ,2810 ,2600 ,2560 ,1930 ,1650 ,2450 ,1880 ,1390 ,960 ,1490 ,400 ,140 ,
59,59020,North Okanagan--Shuswap,54970,1886752000 ,5060 ,3440 ,5860 ,6410 ,6160 ,4330 ,3690 ,3610 ,2930 ,2780 ,1780 ,1510 ,2160 ,1580 ,1170 ,690 ,1200 ,450 ,170 ,
59,59021,North Vancouver,49390,2394773000 ,5580 ,2760 ,3660 ,3790 ,3400 ,2780 ,2560 ,2670 ,2400 ,2480 ,2090 ,1770 ,2950 ,2400 ,1890 ,1490 ,2890 ,1330 ,520 ,
59,59022,Pitt Meadows--Maple Ridge,41170,1571180000 ,4250 ,2480 ,3670 ,3870 ,3550 ,2760 ,2620 ,2620 ,2350 ,2220 ,1710 ,1490 ,2180 ,1600 ,1240 ,800 ,1270 ,380 ,120 ,
59,59023,Port Moody--Coquitlam,45490,1854518000 ,6190 ,2980 ,3910 ,3780 ,3240 ,2520 ,2450 ,2430 ,2290 ,2320 ,1840 ,1590 ,2570 ,2050 ,1450 ,1100 ,1910 ,640 ,260 ,
59,59024,Prince George--Peace River--Northern Rockies,40880,1482842000 ,5520 ,2810 ,3530 ,3690 ,3380 ,2830 ,2480 ,2440 ,2170 ,2050 ,1560 ,1420 ,2040 ,1480 ,1030 ,740 ,1260 ,330 ,130 ,
59,59025,Richmond Centre,45250,1529459000 ,8800 ,3550 ,4940 ,4590 ,3220 ,2410 ,2250 ,2100 ,1870 ,1770 ,1450 ,1230 ,1850 ,1370 ,1070 ,720 ,1340 ,470 ,250 ,
59,59026,Esquimalt--Saanich--Sooke,49440,1970149000 ,3950 ,2590 ,4140 ,4330 ,4030 ,3420 ,3240 ,3470 ,3100 ,3050 ,2440 ,2020 ,2980 ,2200 ,1560 ,1000 ,1390 ,410 ,130 ,
59,59027,Saanich--Gulf Islands,47370,2183977000 ,3660 ,2380 ,3450 ,3870 ,3800 ,3110 ,2730 ,3100 ,2830 ,3030 ,2180 ,1860 ,2840 ,2340 ,1650 ,1200 ,2140 ,900 ,330 ,
59,59028,Skeena--Bulkley Valley,33290,1054472000 ,5640 ,2460 ,3220 ,3430 ,2960 ,2130 ,1970 ,1850 ,1550 ,1440 ,1110 ,920 ,1330 ,1000 ,740 ,540 ,760 ,170 ,70 ,
59,59029,South Okanagan--West Kootenay,52380,1797350000 ,4370 ,3200 ,5460 ,6180 ,6070 ,4290 ,3570 ,3560 ,2840 ,2630 ,1750 ,1420 ,2090 ,1480 ,1070 ,730 ,1150 ,380 ,150 ,
59,59030,South Surrey--White Rock,45570,2169221000 ,4670 ,2450 ,3380 ,3820 ,3680 ,2770 ,2400 ,2630 ,2370 ,2350 ,1880 ,1610 ,2570 ,2160 ,1660 ,1160 ,2410 ,1140 ,460 ,
59,59031,Steveston--Richmond East,44610,1527195000 ,7580 ,3330 ,4710 ,4580 ,3320 ,2600 ,2310 ,2270 ,2040 ,2000 ,1480 ,1320 ,1990 ,1470 ,1040 ,710 ,1270 ,390 ,210 ,
59,59032,Surrey Centre,47030,1202726000 ,7990 ,3980 ,6710 ,5630 ,3960 ,3300 ,2910 ,2560 ,2140 ,1920 ,1400 ,1030 ,1350 ,830 ,480 ,330 ,420 ,80 ,30 ,
59,59033,Surrey--Newton,46190,1216437000 ,8020 ,3550 ,6420 ,5710 ,3900 ,3200 ,2710 ,2420 ,2070 ,1810 ,1370 ,1080 ,1430 ,930 ,580 ,360 ,510 ,100 ,40 ,
59,59034,Vancouver Centre,52490,2854738000 ,6350 ,2970 ,4280 ,4680 ,3130 ,2560 ,2290 ,2390 ,2350 ,2330 ,2050 ,1880 ,3170 ,2720 ,2020 ,1530 ,3390 ,1540 ,850 ,
59,59035,Vancouver East,47570,1835432000 ,4510 ,3010 ,5810 ,6140 ,3550 ,2810 ,2460 ,2300 ,2320 ,2030 ,1680 ,1470 ,2350 ,1870 ,1480 ,1020 ,1970 ,610 ,190 ,
59,59036,Vancouver Granville,46580,2593432000 ,5730 ,2670 ,3380 ,3660 ,2780 ,2340 ,2130 ,2180 ,2090 ,2130 ,1810 ,1630 ,2670 ,2450 ,1850 ,1390 ,3140 ,1660 ,880 ,
59,59037,North Island--Powell River,44070,1512269000 ,4180 ,2800 ,4460 ,4830 ,4650 ,3450 ,2990 ,3030 ,2320 ,2350 ,1630 ,1270 ,1810 ,1360 ,950 ,650 ,930 ,310 ,90 ,
59,59038,Vancouver Kingsway,44390,1503610000 ,5440 ,3170 ,4990 ,5500 ,3730 ,3050 ,2640 ,2380 ,2240 ,2010 ,1550 ,1200 ,1820 ,1320 ,1030 ,670 ,1170 ,370 ,140 ,
59,59039,Vancouver Quadra,43800,2578605000 ,7390 ,2720 ,2940 ,2890 ,2350 ,1910 ,1750 ,1720 ,1670 ,1790 ,1470 ,1310 ,2390 ,2130 ,1680 ,1390 ,3230 ,1950 ,1130 ,
59,59040,Vancouver South,44530,1472797000 ,6120 ,3160 ,5160 ,5490 ,3660 ,2990 ,2630 ,2420 ,2140 ,1920 ,1440 ,1190 ,1770 ,1290 ,890 ,700 ,1100 ,330 ,140 ,
59,59041,Victoria,51740,2463542000 ,3870 ,2420 ,3960 ,4650 ,4160 ,3280 ,3060 ,3180 ,2870 ,2960 ,2330 ,2020 ,3090 ,2650 ,1860 ,1380 ,2450 ,1090 ,460 ,
59,59042,West Vancouver--Sunshine Coast--Sea to Sky Country,51380,2611750000 ,5910 ,3060 ,4030 ,4260 ,4070 ,3250 ,2870 ,2760 ,2490 ,2360 ,1950 ,1640 ,2640 ,2130 ,1620 ,1180 ,2790 ,1500 ,890 ,
