,FED ID,Federal Electoral Districts_x, No Certificate , Secondary School Diploma , Non-university certificate or diploma , University level or above ,ï»¿Province,Party Won
55,11001,Cardigan, 0.19 , 0.30 , 0.29 , 0.23 ,Prince Edward Island,Liberal
56,59004,Cariboo--Prince George, 0.25 , 0.39 , 0.20 , 0.16 ,British Columba,Conservative
57,35088,Carleton, 0.11 , 0.26 , 0.26 , 0.37 ,Ontario,Conservative
58,47004,Carlton Trail--Eagle Creek, 0.23 , 0.37 , 0.24 , 0.16 ,Saskatchewan,Conservative
59,12002,Central Nova, 0.24 , 0.29 , 0.28 , 0.19 ,Nova Scotia,Liberal
60,59005,Central Okanagan--Similkameen--Nicola, 0.18 , 0.36 , 0.27 , 0.19 ,British Columba,Conservative
61,24019,Charlesbourg--Haute-Saint-Charles, 0.18 , 0.28 , 0.29 , 0.25 ,Quebec,Conservative
62,46002,Charleswood--St. James--Assiniboia--Headingley, 0.15 , 0.36 , 0.23 , 0.27 ,Manitoba,Liberal
63,11002,Charlottetown, 0.15 , 0.28 , 0.26 , 0.31 ,Prince Edward Island,Liberal
64,24021,ChÃ¢teauguay--Lacolle, 0.27 , 0.34 , 0.23 , 0.16 ,Quebec,Liberal
65,35017,Chatham-Kent--Leamington, 0.28 , 0.32 , 0.27 , 0.13 ,Ontario,Conservative
66,24022,Chicoutimi--Le Fjord, 0.24 , 0.26 , 0.25 , 0.25 ,Quebec,Liberal
67,59006,Chilliwack--Hope, 0.22 , 0.41 , 0.22 , 0.15 ,British Columba,Conservative
68,46003,Churchill--Keewatinook Aski, 0.50 , 0.27 , 0.14 , 0.10 ,Manitoba,NDP
69,59007,Cloverdale--Langley City, 0.17 , 0.38 , 0.23 , 0.22 ,British Columba,Liberal
70,10003,Coast of Bays--Central--Notre Dame, 0.34 , 0.30 , 0.25 , 0.10 ,Newfoundland and Labrador,Liberal
71,24023,Compton--Stanstead, 0.27 , 0.28 , 0.23 , 0.22 ,Quebec,Liberal
72,59008,Coquitlam--Port Coquitlam, 0.13 , 0.33 , 0.21 , 0.32 ,British Columba,Liberal
73,59009,Courtenay--Alberni, 0.20 , 0.35 , 0.25 , 0.19 ,British Columba,NDP
74,59010,Cowichan--Malahat--Langford, 0.19 , 0.36 , 0.25 , 0.20 ,British Columba,NDP
75,12003,Cumberland--Colchester, 0.24 , 0.32 , 0.27 , 0.17 ,Nova Scotia,Liberal
76,47002,Cypress Hills--Grasslands, 0.24 , 0.39 , 0.23 , 0.14 ,Saskatchewan,Conservative
